NORAD CAT ID,NAME,PAYLOAD NAME,LAUNCH DATE,REENTRY DATE,MASS (kg),DRY MASS (kg)
00001,8K71PS No. M1-10 Stage 2,8K71A M1-10 (M1-1PS),1957 Oct  4,1957 Dec  1 1000?,7790,7790
00002,1-y ISZ,PS-1,1957 Oct  4,1958 Jan  4?,84,84
00003,2-y ISZ,PS-2,1957 Nov  3,1958 Apr 14 0200?,508,508
00004,Explorer I,Explorer 1,1958 Feb  1,1970 Mar 31 1045?,8,8
00005,Vanguard I,Vanguard Test Satellite H,1958 Mar 17,-,2,2
00006,Explorer III,Explorer 3,1958 Mar 26,1958 Jun 28,8,8
00007,8A91 No. B1-1 Stage 2,8K74A,1958 May 15,1958 Dec  3,7790,7790
00008,3-y Sovetskiy ISZ,D No. 2,1958 May 15,1960 Apr  6,1327,1327
00009,Explorer IV,Explorer 4,1958 Jul 26,1959 Oct 23,12,12
00010,SCORE,SCORE,1958 Dec 18,1959 Jan 21,68,68
00011,Vanguard II,Cloud cover satellite,1959 Feb 17,-,10,10
00012,Vanguard SLV-4 Stage 3,GRC 33-KS-2800 175-15-21,1959 Feb 17,-,195,22
00013,Discoverer 1,CORONA Test Vehicle 2,1959 Feb 28,1959 Mar  5,78,78
00014,Discoverer 2,CORONA BIO 1,1959 Apr 13,1959 Apr 26,110,110
00015,Explorer VI,Able III?,1959 Aug  7,1961 Jul  1,40,40
00016,Vanguard TV-4 Stage 3,GRC 33-KS-2800  144-79-22,1958 Mar 17,-,195,22
00017,Thor Able III Stage 3,Altair X-248,1959 Aug  7,1961 Jun 30,24,24
00018,Discoverer 5,CORONA C-2,1959 Aug 13,1959 Sep 28,140,140
00019,Discoverer 6,CORONA C-3,1959 Aug 19,1959 Oct 20,132,132
00020,Vanguard III,Magne-Ray satellite,1959 Sep 18,-,23,23
00021,AMS Luna-3,E-2A,1959 Oct  4,1959 Oct  4 1504,278,278
00022,Explorer 7,NASA S-1A,1959 Oct 13,-,41,41
00023,Cluster 13 Assembly 4,RTV Motor,1959 Oct 13,1989 Jul 16,6,6
00024,Discoverer 7,CORONA C-4,1959 Nov  7,1959 Nov 26 1900?,242,242
00025,Discoverer 8,CORONA C-5,1959 Nov 20,1960 Mar  8 0115?,157,157
00026,SRV 111,SRV,1959 Aug 13,1961 Feb 11,123,123
00027,Pioneer V,Able VI?,1960 Mar 11,1960 Mar 11 2300,43,43
00028,Thor Able II Stage 3,Altair X-248,1960 Apr  1,1991 Jul  2,24,24
00029,Tiros 1,NASA A-1,1960 Apr  1,-,122,122
00030,Ablestar 002,AJ10-104,1960 Apr 13,1961 Aug 18 0430?,650,600
00031,Transit I-B,Transit 1B,1960 Apr 13,1967 Oct  5 0600?,121,121
00032,Discoverer 11,CORONA C-8,1960 Apr 15,1960 Apr 26 1730?,103,103
00033,Dummy subsatellite?,-,1960 Apr 13,1960 Jul 17,2,2
00034,Priborniy otsek,PO,1960 May 15,1962 Sep  5 0945?,2600,2600
00035,Vostok 8K72 No. 11 Stage 3,8K72E No. L1-11,1960 May 15,1960 Jul 17 1945?,1440,1440
00036,Korabl'-Sputnik,Vostok-1P,1960 May 15,1965 Oct 15 1245?,2100,2100
00037,Korabl'-Sputnik part,Vostok-1P part,1960 May 15,1961 Jun 30,0,0
00038,Korabl'-Sputnik part,Vostok-1P part,1960 May 15,1960 Oct  1,0,0
00039,Korabl'-Sputnik part,Vostok-1P part,1960 May 15,1960 Sep 24,0,0
00040,Korabl'-Sputnik part,Vostok-1P part,1960 May 15,1960 Sep 24,0,0
00041,Korabl'-Sputnik part,Vostok-1P part,1960 May 15,1960 Oct  1,0,0
00042,Korabl'-Sputnik part,Vostok-1P part,1960 May 15,1960 Oct  1,0,0
00043,Midas 2,Midas ETS-I F2,1960 May 24,1974 Feb  7 2000?,1410,1410
00044,Midas 2 Fairing,Midas 2 Fairing,1960 May 24,1960 Dec  5 0700?,50,50
00045,Transit II-A,Transit 2A,1960 Jun 22,-,100,100
00046,GREB,GRAB SV2,1960 Jun 22,1960 Oct  5,19,19
00047,Ablestar 003,AJ10-104,1960 Jun 22,-,670,600
00048,Discoverer 13,CORONA Diagnostic 2,1960 Aug 10,1960 Nov 14 2000?,120,120
00049,Echo 1,NASA A-11,1960 Aug 12,1968 May 24 0045?,75,60
00050,Delta 2 Stage 3,Altair X-248-A5 S/N 3012,1960 Aug 12,-,24,24
00051,A-11 Canister half,A-11,1960 Aug 12,-,5,5
