NORAD CAT ID,NAME,LAUNCH DATE,REENTRY DATE,DRY MASS (KG),ORBIT,PLNAME
4,EXPLORER 1,1958-02-01,1970-03-31,8.0,LEO/I,Explorer 1
5,VANGUARD 1,1958-03-17,None,2.0,MEO,Vanguard Test Satellite H
8,SPUTNIK 3,1958-05-15,1960-04-06,1327.0,LEO/I,D No. 2
9,EXPLORER 4,1958-07-26,1959-10-23,12.0,LEO/I,Explorer 4
11,VANGUARD 2,1959-02-17,None,10.0,LEO/I,Cloud cover satellite
15,EXPLORER 6,1959-08-07,1961-07-01,40.0,HEO,Able III?
18,DISCOVERER 5,1959-08-13,1959-09-28,140.0,LLEO/I,CORONA C-2
19,DISCOVERER 6,1959-08-19,1959-10-20,132.0,LLEO/I,CORONA C-3
20,VANGUARD 3,1959-09-18,None,23.0,MEO,Magne-Ray satellite
22,EXPLORER 7,1959-10-13,None,41.0,LEO/I,NASA S-1A
24,DISCOVERER 7,1959-11-07,1959-11-26,242.0,LLEO/I,CORONA C-4
25,DISCOVERER 8,1959-11-20,1960-03-08,157.0,LEO/I,CORONA C-5
26,DISCOVERER 5 CAPSULE,1959-08-13,1961-02-11,123.0,LEO/I,SRV
29,TIROS 1,1960-04-01,None,122.0,LEO/I,NASA A-1
31,TRANSIT 1B,1960-04-13,1967-10-05,121.0,LLEO/I,Transit 1B
32,DISCOVERER 11,1960-04-15,1960-04-26,103.0,LLEO/I,CORONA C-8
34,SPUTNIK 4,1960-05-15,1962-09-05,2600.0,LLEO/I,PO
36,SPUTNIK 4 CABIN,1960-05-15,1965-10-15,2100.0,LLEO/I,Vostok-1P
43,MIDAS 2,1960-05-24,1974-02-07,1410.0,LLEO/I,Midas ETS-I F2
45,TRANSIT 2A,1960-06-22,None,100.0,LEO/I,Transit 2A
46,SOLRAD 1 (GREB),1960-06-22,1960-10-05,19.0,LEO/I,GRAB SV2
48,DISCOVERER 13,1960-08-10,1960-11-14,120.0,LLEO/I,CORONA Diagnostic 2
49,ECHO 1,1960-08-12,1968-05-24,60.0,LEO/I,NASA A-11
54,DISCOVERER 14,1960-08-18,1960-09-16,120.0,LLEO/I,CORONA C-9
55,SPUTNIK 5,1960-08-19,1960-08-20,2100.0,LLEO/I,Vostok-1 No. 2
57,DISCOVERER 15,1960-09-13,1960-10-18,132.0,LLEO/I,CORONA C-10
58,COURIER 1B,1960-10-04,None,225.0,LEO/I,Courier 1B
60,EXPLORER 8,1960-11-03,2012-03-28,41.0,LEO/I,NASA S-30
61,DISCOVERER 17,1960-11-12,1960-12-29,127.0,LLEO/I,CORONA C'-2
63,TIROS 2,1960-11-23,2014-05-18,122.0,LEO/I,NASA A-2
65,SPUTNIK 6,1960-12-01,1960-12-02,2100.0,LLEO/I,Vostok-1 No. 3
67,DISCOVERER 18,1960-12-07,1961-04-02,130.0,LLEO/I,CORONA C'-3
68,DISCOVERER 19,1960-12-20,1961-01-23,216.0,LLEO/I,CORONA RM-1
70,SAMOS 2,1961-01-31,1973-10-21,166.0,LLEO/S,SAMOS F-1 No. 2
71,SPUTNIK 7,1961-02-04,1961-02-26,620.0,LLEO/I,1VA No. 1
77,SPUTNIK 8,1961-02-12,1961-02-25,300.0,LLEO/I,BOZ
81,EXPLORER 9,1961-02-16,1964-04-09,6.0,LEO/I,NASA S-56A
83,DISCOVERER 20,1961-02-17,1962-07-28,108.0,LLEO/I,ARGON 1
84,DISCOVERER 21,1961-02-18,1962-04-20,146.0,LEO/I,CORONA RM-2
87,TRANSIT 3B/LOFTI 1,1961-02-22,1961-03-30,170.0,LLEO/I,Transit 3B
91,SPUTNIK 9,1961-03-09,1961-03-09,2100.0,LLEO/I,Vostok-3 No. 1
95,SPUTNIK 10,1961-03-25,1961-03-25,2100.0,LLEO/I,Vostok-3 No. 2
100,DISCOVERER 23,1961-04-08,1962-04-16,121.0,LLEO/I,ARGON 2
102,DISCOVERER 23 CAPSULE,1961-04-08,1962-05-23,157.0,LEO/I,SRV
107,EXPLORER 11,1961-04-27,None,40.0,LEO/I,NASA S-15
108,DISCOVERER 25,1961-06-16,1961-07-12,134.0,LLEO/I,CORONA C'-5
116,TRANSIT 4A,1961-06-29,None,78.0,LEO/I,Transit 4A
117,SOLRAD 3/INJUN 1,1961-06-29,None,18.0,LEO/I,Injun 1
160,DISCOVERER 26,1961-07-07,1961-12-05,135.0,LLEO/I,CORONA C'-6
162,TIROS 3,1961-07-12,None,129.0,LEO/I,NASA A-3
163,MIDAS 3,1961-07-12,None,840.0,MEO,Midas ETS-II F1
168,VOSTOK 2,1961-08-06,1961-08-07,2100.0,LLEO/I,Vostok-3A No. 4
170,EXPLORER 12,1961-08-16,1963-08-31,38.0,VHEO,NASA S-3
173,RANGER 1,1961-08-23,1961-08-30,306.0,LLEO/I,NASA P-32
180,EXPLORER 13,1961-08-25,1961-08-28,62.0,LEO/I,NASA S-55A
181,DISCOVERER 29,1961-08-30,1961-09-09,146.0,LLEO/I,CORONA C'''-1
182,DISCOVERER 30,1961-09-12,1961-12-11,144.0,LLEO/I,CORONA C'''-2
186,DISCOVERER 31,1961-09-17,1961-10-26,123.0,LLEO/I,CORONA C'''-3
189,DISCOVERER 32,1961-10-13,1961-11-13,116.0,LLEO/I,CORONA C'''-4
192,MIDAS 4,1961-10-21,None,840.0,MEO,Midas ETS-II F2
197,DISCOVERER 34,1961-11-05,1962-12-07,133.0,LLEO/I,CORONA C'-9
201,DISCOVERER 35,1961-11-15,1961-12-03,135.0,LLEO/I,CORONA C'-10
202,TRANSIT 4B,1961-11-15,None,89.0,LEO/I,Transit 4B
205,TRAAC,1961-11-15,None,105.0,LEO/I,Traac
206,RANGER 2,1961-11-18,1961-11-20,306.0,LLEO/I,NASA P-33
213,DISCOVERER 36,1961-12-12,1962-03-08,234.0,LLEO/I,CORONA C'''-5
214,OSCAR 1,1961-12-12,1962-01-31,5.0,LLEO/I,OSCAR 1
215,DISCOVERER 36 CAPSULE,1961-12-12,1961-12-19,1.0,LLEO/I,-
217,SAMOS 5,1961-12-22,1962-08-14,300.0,LLEO/P,Samos 5 Reflector
226,TIROS 4,1962-02-08,None,129.0,LEO/I,NASA A-9
242,FTV 2301,1962-02-21,1962-03-09,289.0,LLEO/I,Project 102 Group 0-D
247,DISCOVERER 38,1962-02-27,1962-03-21,184.0,LLEO/I,CORONA M-1
255,OSO 1,1962-03-07,1981-10-08,208.0,LLEO/I,NASA S-16
256,SAMOS 6,1962-03-07,1963-06-07,600.0,LLEO/P,SAMOS E-5 No. 3
