NORAD ID,REFERENCE ALTITUDE EPOCH,REFERENCE ALTITUDE (KM),REFERENCE TLE 1,REFERENCE TLE 2,PREDICTION EPOCH,PREDICTION ALTITUDE (KM),LAST TLE LINE 1,LAST TLE LINE 2,ESTIMATED REENTRY EPOCH,ESTIMATED REENTRY ALTITUDE (KM),MIN DST
44246,2020-01-17 06:00:01+00:00,280,1 44246U 19029M   20017.25001157  .00801758  31893-3  10301-2 0  9995,2 44246  52.9886  81.5660 0068172 130.4531 256.6162 16.01905735 37181,2020-01-30 05:00:01+00:00,95.0592890625,1 44246U 19029M   20051.53743625  .17658540  12175-4  76906-3 0  9991,2 44246  52.9662 262.5732 0026963 244.6149 115.2104 16.40063924 42707"}],2020-02-21 06:53:54+00:00,94.742265625,-58.0
45211,2020-03-02 14:00:01+00:00,275,1 45211U 20012AK  20062.58334491  .00182090  22435-4  62805-3 0  9999,2 45211  53.0018 199.3612 0069375  92.4376   4.0437 15.85244733  2545,2020-05-11 09:00:01+00:00,99.033296875,1 45211U 20012AK  20069.91667824  .00723224  00000-0  41594-2 0  9993,2 45211  53.0024 162.4808 0027451 118.7601 331.9927 15.75746283  3703"}],2020-04-01 02:00:01+00:00,94.706484375,-45.0
44948,2020-03-18 14:00:01+00:00,284,1 44948U 20001AL  20078.58334491  .02769690  66028-2  68630-2 0  9994,2 44948  52.9925  36.7777 0001193 117.9260 282.1963 15.96931613 11333,2020-03-22 11:00:01+00:00,94.6001015625,1 44948U 20001AL  20093.11544131 +.10026385 +12155-4 +15322-2 0  9994,2 44948 052.9916 320.6390 0006458 255.8970 104.1355 16.33333815013677"}],2020-04-03 16:46:14+00:00,98.098859375,-68.0
44278,2020-04-29 22:00:01+00:00,280,1 44278U 19029AV  20120.91667824  .00066507  13017-4  16405-3 0  9993,2 44278  52.9915 256.9537 0007826  48.2778 334.2512 15.96201837 54128,2020-10-13 12:00:01+00:00,99.4478984375,1 44278U 19029AV  20148.37496501  .35214307  12466-4  12490-2 0  9992,2 44278  52.9725 113.8189 0005497 260.1827 100.3413 16.44125369 58533"}],2020-05-27 16:59:57+00:00,95.730796875,-26.0
44965,2020-05-14 10:00:02+00:00,281,1 44965U 20001BD  20135.41668981  .04668570  33375-1  12670-1 0  9990,2 44965  52.9952 120.2939 0002721 169.2274 320.9241 15.97918936 20923,2020-05-16 09:00:02+00:00,94.8435546875,1 44965U 20001BD  20149.94546070  .34395127  12367-4  12102-2 0  9997,2 44965  52.9928  43.5355 0008979 226.1131 134.4631 16.43727123 23271"}],2020-05-29 07:41:28+00:00,89.47953125,-26.0
45657,2020-06-28 14:00:02+00:00,279,1 45657U 20035A   20180.58335648  .00220646  11490-4  18303-3 0  9997,2 45657  52.9988  44.2854 0080596 140.4295  98.1131 16.06380772  4827,2020-10-18 11:00:02+00:00,98.8959140625,1 45657U 20035A   20196.59974008  .38210219  12083-4  47903-3 0  9997,2 45657  53.0001 319.7129 0028054 181.2741 293.9291 16.46735707  7405"}],2020-07-14 20:23:38+00:00,98.1901640625,-50.0
44277,2020-07-29 20:00:01+00:00,279,1 44277U 19029AU  20211.83334491  .00732467  25370-3  14580-2 0  9995,2 44277  53.0014 313.0744 0004930 238.7011 259.3089 15.99306729 66413,2020-08-14 05:00:01+00:00,96.9014375,1 44277U 19029AU  20222.37327385  .01090556  12276-4  10000-3 0  9993,2 44277  52.9901 257.7587 0015013 227.2645 148.1546 16.37648131 68116"}],2020-08-21 14:57:31+00:00,98.283,-39.0
44236,2020-07-29 20:00:01+00:00,280,1 44236U 19029B   20211.83334491  .00753978  26935-3  15033-2 0  9992,2 44236  53.0025 316.8826 0005050 320.5008 186.8696 15.99278319 67481,2020-08-13 13:00:01+00:00,99.81221875,1 44236U 19029B   20222.55316460  .30875389  12472-4  17311-2 0  9996,2 44236  52.9807 260.6619 0004178 316.6235  43.5158 16.42066597 69218"}],2020-08-10 00:16:33+00:00,92.4091640625,-39.0
44255,2020-07-27 14:00:01+00:00,281,1 44255U 19029W   20209.58334491 +.00790312 +29380-3 +16509-2 0  9991,2 44255 053.0028 324.2228 0001146 066.1652 350.1275 15.98480357066017,2020-08-10 21:00:01+00:00,97.82071875,1 44255U 19029W   20234.17991114  .14819503  12680-4  12961-3 0  9999,2 44255  52.9990 193.8711 0005799 267.9489  92.4984 16.51444328 70002"}],2020-08-21 17:19:04+00:00,94.42284375,-39.0
44242,2020-07-27 22:00:02+00:00,279,1 44242U 19029H   20209.91668981  .00753423  26841-3  15155-2 0  9995,2 44242  52.9933 320.3343 0001608  35.6006 147.9054 15.99145592 66138,2020-08-11 21:00:02+00:00,99.97146875,1 44242U 19029H   20234.29931240  .13214775  12681-4  10198-3 0  9992,2 44242  52.9881 190.9995 0006030 255.8328 104.4665 16.52223162 70086"}],2020-08-21 20:11:01+00:00,96.9010703125,-39.0
