ID,NAME,LAUNCH_DATE,REENTRY_DATE,MASS,MEAN ALTITUDE (KM)
4,EXPLORER 1,1958-02-01,1970-03-31,8.0,842.6162493715722
8,SPUTNIK 3,1958-05-15,1960-04-06,1327.0,685.96722265625
9,EXPLORER 4,1958-07-26,1959-10-23,12.0,628.309177827381
15,EXPLORER 6,1959-08-07,1961-07-01,40.0,8169.8409375
18,DISCOVERER 5,1959-08-13,1959-09-28,140.0,350.60366666666664
19,DISCOVERER 6,1959-08-19,1959-10-20,132.0,475.6586840277778
24,DISCOVERER 7,1959-11-07,1959-11-26,242.0,649.1127968750001
25,DISCOVERER 8,1959-11-20,1960-03-08,157.0,581.988783203125
26,DISCOVERER 5 CAPSULE,1959-08-13,1961-02-11,123.0,593.8530137195122
31,TRANSIT 1B,1960-04-13,1967-10-05,121.0,444.5422001363255
32,DISCOVERER 11,1960-04-15,1960-04-26,103.0,461.40635937499997
34,SPUTNIK 4,1960-05-15,1962-09-05,2600.0,353.37241332799147
36,SPUTNIK 4 CABIN,1960-05-15,1965-10-15,2100.0,348.1652623782468
43,MIDAS 2,1960-05-24,1974-02-07,1410.0,403.2512628650904
46,SOLRAD 1 (GREB),1960-06-22,1960-10-05,19.0,749.7823535146214
48,DISCOVERER 13,1960-08-10,1960-11-14,120.0,382.2269040178571
49,ECHO 1,1960-08-12,1968-05-24,60.0,1315.6590411903578
54,DISCOVERER 14,1960-08-18,1960-09-16,120.0,549.3171138392858
55,SPUTNIK 5,1960-08-19,1960-08-20,2100.0,317.30315625
57,DISCOVERER 15,1960-09-13,1960-10-18,132.0,458.32122786458336
60,EXPLORER 8,1960-11-03,2012-03-28,41.0,769.2138920160434
61,DISCOVERER 17,1960-11-12,1960-12-29,127.0,470.28741992187497
63,TIROS 2,1960-11-23,2014-05-18,122.0,536.2284500951293
65,SPUTNIK 6,1960-12-01,1960-12-02,2100.0,207.82357421875
67,DISCOVERER 18,1960-12-07,1961-04-02,130.0,412.0125872844828
68,DISCOVERER 19,1960-12-20,1961-01-23,216.0,414.06995182291666
70,SAMOS 2,1961-01-31,1973-10-21,166.0,413.5284957598372
71,SPUTNIK 7,1961-02-04,1961-02-26,620.0,219.648621875
77,SPUTNIK 8,1961-02-12,1961-02-25,300.0,193.86247265625002
81,EXPLORER 9,1961-02-16,1964-04-09,6.0,1380.8415621657755
83,DISCOVERER 20,1961-02-17,1962-07-28,108.0,431.8890902157738
84,DISCOVERER 21,1961-02-18,1962-04-20,146.0,490.8764038765823
87,TRANSIT 3B/LOFTI 1,1961-02-22,1961-03-30,170.0,375.660765625
91,SPUTNIK 9,1961-03-09,1961-03-09,2100.0,173.39909375
95,SPUTNIK 10,1961-03-25,1961-03-25,2100.0,177.840625
100,DISCOVERER 23,1961-04-08,1962-04-16,121.0,390.9272463942308
102,DISCOVERER 23 CAPSULE,1961-04-08,1962-05-23,157.0,613.0882975643382
108,DISCOVERER 25,1961-06-16,1961-07-12,134.0,322.9510859375
160,DISCOVERER 26,1961-07-07,1961-12-05,135.0,418.5457859375
168,VOSTOK 2,1961-08-06,1961-08-07,2100.0,184.1534453125
170,EXPLORER 12,1961-08-16,1963-08-31,38.0,72401.61866666666
173,RANGER 1,1961-08-23,1961-08-30,306.0,745.11728125
180,EXPLORER 13,1961-08-25,1961-08-28,62.0,580.2468125
181,DISCOVERER 29,1961-08-30,1961-09-09,146.0,283.811609375
182,DISCOVERER 30,1961-09-12,1961-12-11,144.0,323.3349739583333
186,DISCOVERER 31,1961-09-17,1961-10-26,123.0,300.7878058035714
189,DISCOVERER 32,1961-10-13,1961-11-13,116.0,304.2176111111111
197,DISCOVERER 34,1961-11-05,1962-12-07,133.0,448.3781704326923
201,DISCOVERER 35,1961-11-15,1961-12-03,135.0,261.6436897321429
206,RANGER 2,1961-11-18,1961-11-20,306.0,158.8790859375
213,DISCOVERER 36,1961-12-12,1962-03-08,234.0,288.55394361413045
214,OSCAR 1,1961-12-12,1962-01-31,5.0,303.84469110576924
215,DISCOVERER 36 CAPSULE,1961-12-12,1961-12-19,1.0,357.728453125
217,SAMOS 5,1961-12-22,1962-08-14,300.0,441.8619037162162
242,FTV 2301,1962-02-21,1962-03-09,289.0,243.754359375
247,DISCOVERER 38,1962-02-27,1962-03-21,184.0,331.4731296875
255,OSO 1,1962-03-07,1981-10-08,208.0,476.6008148177247
