NORAD CAT ID,NAME,LAUNCH DATE,REENTRY DATE,DRY MASS (KG)
4,EXPLORER 1,1958-02-01,1970-03-31,8
5,VANGUARD 1,1958-03-17,None,2
8,SPUTNIK 3,1958-05-15,1960-04-06,1327
9,EXPLORER 4,1958-07-26,1959-10-23,12
11,VANGUARD 2,1959-02-17,None,10
15,EXPLORER 6,1959-08-07,1961-07-01,40
18,DISCOVERER 5,1959-08-13,1959-09-28,140
19,DISCOVERER 6,1959-08-19,1959-10-20,132
20,VANGUARD 3,1959-09-18,None,23
22,EXPLORER 7,1959-10-13,None,41
24,DISCOVERER 7,1959-11-07,1959-11-26,242
25,DISCOVERER 8,1959-11-20,1960-03-08,157
26,DISCOVERER 5 CAPSULE,1959-08-13,1961-02-11,123
29,TIROS 1,1960-04-01,None,122
31,TRANSIT 1B,1960-04-13,1967-10-05,121
32,DISCOVERER 11,1960-04-15,1960-04-26,103
34,SPUTNIK 4,1960-05-15,1962-09-05,2600
36,SPUTNIK 4 CABIN,1960-05-15,1965-10-15,2100
43,MIDAS 2,1960-05-24,1974-02-07,1410
45,TRANSIT 2A,1960-06-22,None,100
46,SOLRAD 1 (GREB),1960-06-22,1960-10-05,19
48,DISCOVERER 13,1960-08-10,1960-11-14,120
49,ECHO 1,1960-08-12,1968-05-24,75
54,DISCOVERER 14,1960-08-18,1960-09-16,120
55,SPUTNIK 5,1960-08-19,1960-08-20,2100
57,DISCOVERER 15,1960-09-13,1960-10-18,132
58,COURIER 1B,1960-10-04,None,225
60,EXPLORER 8,1960-11-03,2012-03-28,41
61,DISCOVERER 17,1960-11-12,1960-12-29,127
63,TIROS 2,1960-11-23,2014-05-18,122
65,SPUTNIK 6,1960-12-01,1960-12-02,2100
67,DISCOVERER 18,1960-12-07,1961-04-02,130
68,DISCOVERER 19,1960-12-20,1961-01-23,216
70,SAMOS 2,1961-01-31,1973-10-21,166
71,SPUTNIK 7,1961-02-04,1961-02-26,620
77,SPUTNIK 8,1961-02-12,1961-02-25,600
81,EXPLORER 9,1961-02-16,1964-04-09,6
83,DISCOVERER 20,1961-02-17,1962-07-28,108
84,DISCOVERER 21,1961-02-18,1962-04-20,146
87,TRANSIT 3B/LOFTI 1,1961-02-22,1961-03-30,170
91,SPUTNIK 9,1961-03-09,1961-03-09,2100
95,SPUTNIK 10,1961-03-25,1961-03-25,2100
100,DISCOVERER 23,1961-04-08,1962-04-16,121
102,DISCOVERER 23 CAPSULE,1961-04-08,1962-05-23,157
107,EXPLORER 11,1961-04-27,None,40
108,DISCOVERER 25,1961-06-16,1961-07-12,134
116,TRANSIT 4A,1961-06-29,None,78
117,SOLRAD 3/INJUN 1,1961-06-29,None,18
160,DISCOVERER 26,1961-07-07,1961-12-05,135
162,TIROS 3,1961-07-12,None,129
163,MIDAS 3,1961-07-12,None,840
168,VOSTOK 2,1961-08-06,1961-08-07,2100
170,EXPLORER 12,1961-08-16,1963-08-31,38
173,RANGER 1,1961-08-23,1961-08-30,306
180,EXPLORER 13,1961-08-25,1961-08-28,62
181,DISCOVERER 29,1961-08-30,1961-09-09,146
182,DISCOVERER 30,1961-09-12,1961-12-11,144
186,DISCOVERER 31,1961-09-17,1961-10-26,123
189,DISCOVERER 32,1961-10-13,1961-11-13,116
192,MIDAS 4,1961-10-21,None,840
197,DISCOVERER 34,1961-11-05,1962-12-07,133
201,DISCOVERER 35,1961-11-15,1961-12-03,135
202,TRANSIT 4B,1961-11-15,None,89
205,TRAAC,1961-11-15,None,105
206,RANGER 2,1961-11-18,1961-11-20,306
213,DISCOVERER 36,1961-12-12,1962-03-08,234
214,OSCAR 1,1961-12-12,1962-01-31,5
215,DISCOVERER 36 CAPSULE,1961-12-12,1961-12-19,1
217,SAMOS 5,1961-12-22,1962-08-14,300
226,TIROS 4,1962-02-08,None,129
242,FTV 2301,1962-02-21,1962-03-09,289
247,DISCOVERER 38,1962-02-27,1962-03-21,184
255,OSO 1,1962-03-07,1981-10-08,208
256,SAMOS 6,1962-03-07,1963-06-07,600
266,COSMOS 1 (SPUTNIK 11),1962-03-16,1962-05-25,47
269,COSMOS 2 (SPUTNIK 12),1962-04-06,1963-08-20,224
271,MIDAS 5 (STRONGBACK),1962-04-09,None,840
276,FTV 1154,1962-04-18,1962-05-28,154
281,COSMOS 3 (SPUTNIK 13),1962-04-24,1962-10-17,251
285,ARIEL 1 (UK-1),1962-04-26,1976-05-24,60
290,FTV 1125,1962-04-29,1962-05-26,185
292,FTV 1126,1962-05-15,1963-11-26,162
297,COSMOS 5 (SPUTNIK 15),1962-05-28,1963-05-02,252
302,FTV 1128,1962-05-30,1962-06-11,181
304,FTV 1127,1962-06-02,1962-06-28,163
305,OSCAR 2,1962-06-02,1962-06-21,5
307,SAMOS 8 (FTV 2402),1962-06-17,1962-06-18,400
308,FTV 2312,1962-06-18,1963-10-30,345
309,TIROS 5,1962-06-19,None,129
315,FTV 1129,1962-06-23,1962-07-07,171
316,FTV 1151,1962-06-28,1962-09-14,190
338,COSMOS 6 (SPUTNIK 16),1962-06-30,1962-09-08,240
340,TELSTAR 1,1962-07-10,None,77
343,SAMOS 9 (FTV 2403),1962-07-18,1962-07-27,600
344,FTV 1130,1962-07-21,1962-08-14,176
345,FTV 1131,1962-07-28,1962-08-24,179
346,COSMOS 7 (SPUTNIK 17),1962-07-28,1962-08-01,2100
360,FTV 1152,1962-08-02,1962-08-26,170
361,SAMOS 10 (FTV 2404),1962-08-05,1962-08-06,400
363,VOSTOK 3,1962-08-11,1962-08-15,2100
365,VOSTOK 4,1962-08-12,1962-08-15,2100
367,COSMOS 8 (SPUTNIK 18),1962-08-18,1963-08-17,235
369,FTV 3502,1962-08-23,None,50
371,SPUTNIK 19,1962-08-25,1962-08-28,600
377,FTV 1153,1962-08-29,1962-09-10,184
381,SPUTNIK 20,1962-09-01,1962-09-06,600
385,FTV 1132,1962-09-01,1964-10-26,144
396,FTV 1133/ERS 2,1962-09-17,1962-11-19,186
397,TIROS 6,1962-09-18,None,127
422,COSMOS 9,1962-09-27,1962-10-01,2100
424,ALOUETTE 1 (S-27),1962-09-29,None,145
427,FTV 1154,1962-09-29,1962-10-08,186
432,EXPLORER 14 (SERB 53A),1962-10-02,1965-01-01,40
433,MERCURY ATLAS 8,1962-10-03,1962-10-03,1170
436,FTV 1134,1962-10-09,1962-11-16,137
437,COSMOS 10,1962-10-17,1962-10-21,2100
441,COSMOS 11,1962-10-20,1964-05-18,220
443,SPUTNIK 22,1962-10-24,1962-10-29,893
444,STARAD (FTV 1401),1962-10-26,1967-10-05,315
445,EXPLORER 15 (SERB 53B),1962-10-27,1978-01-15,44
446,ANNA 1B,1962-10-31,None,157
451,SPUTNIK 24,1962-11-04,1962-11-05,600
453,FTV 1136,1962-11-05,1962-12-03,189
481,FTV 1135,1962-11-24,1962-12-13,236
490,FTV 1155,1962-12-04,1962-12-08,216
502,BLACK SPHERE,1962-12-13,1967-02-09,25
503,RELAY 1 (A-15),1962-12-13,None,78
504,INJUN 3,1962-12-13,1968-08-25,52
505,FTV 1156,1962-12-14,1963-01-08,222
506,EXPLORER 16,1962-12-16,None,76
507,SURCAL 1,1962-12-13,1963-07-01,1
508,SURCAL 1A,1962-12-13,1966-01-18,4
509,TRANSIT 5A,1962-12-19,1986-09-25,59
513,CALSPHERE 1A,1962-12-13,1967-02-05,25
517,COSMOS 12,1962-12-22,1962-12-30,2100
521,SPUTNIK 25,1963-01-04,1963-01-05,2000
525,FTV 1157,1963-01-07,1963-01-24,209
527,FTV 2313,1963-01-16,1969-01-09,306
533,FTV 0240,1963-02-19,1979-12-26,50
553,SYNCOM 1,1963-02-14,None,32
554,COSMOS 13,1963-03-21,1963-03-29,2100
562,FTV 1660,1963-04-01,1963-04-26,215
564,EXPLORER 17 (S-6),1963-04-03,1966-11-24,184
567,COSMOS 14,1963-04-13,1963-08-29,200
569,COSMOS 15,1963-04-22,1963-04-27,2100
571,COSMOS 16,1963-04-28,1963-05-08,2100
573,TELSTAR 2 (A-41),1963-05-07,None,79
574,MIDAS 6 (FTV 1169),1963-05-09,None,840
576,MERCURY ATLAS 9,1963-05-15,1963-05-16,1170
578,FTV 1110,1963-05-18,1963-05-27,472
579,ERS 5,1963-05-09,2011-11-11,1
580,COSMOS 17,1963-05-22,1965-06-02,220
586,COSMOS 18,1963-05-24,1963-06-02,2100
589,DASH 1,1963-05-09,None,1
590,THOR AGENA D,1963-06-12,1963-07-12,468
591,VOSTOK 5,1963-06-14,1963-06-19,2100
594,TRANSIT 5A3,1963-06-16,1990-08-03,59
595,VOSTOK 6,1963-06-16,1963-06-19,2100
597,SURCAL 1B,1963-06-15,1963-07-05,4
598,FTV 1292,1963-06-15,1963-07-27,29
599,SOLRAD 6,1963-06-15,1963-08-01,38
600,RADOSE 112,1963-06-15,1963-07-30,38
601,LOFTI 2A,1963-06-15,1963-07-18,27
604,TIROS 7,1963-06-19,1994-06-03,135
608,ERS 6,1963-05-09,None,1
609,THOR AGENA D,1963-06-27,1963-07-26,387
612,GRS,1963-06-28,1983-12-14,66
613,THOR AGENA B,1963-06-29,1969-10-26,439
614,HITCH HIKER 1,1963-06-27,2024-08-12,95
618,ATLAS AGENA D,1963-07-12,1963-07-18,2000
621,THOR AGENA D,1963-07-19,1963-08-13,173
622,MIDAS 7/ERS 10,1963-07-19,None,840
624,DASH 2,1963-07-19,1971-04-12,1
632,COSMOS 19,1963-08-06,1964-03-30,240
634,SYNCOM 2 (A 26),1963-07-26,None,34
635,ERS 9,1963-07-19,None,1
637,THOR AGENA D,1963-08-29,1963-11-07,101
638,0.1 SQ METER TARGET,1963-08-29,1963-09-29,10
641,ATLAS AGENA D,1963-09-06,1963-09-13,2000
668,THOR AGENA D,1963-09-23,1963-10-12,223
670,TRANSIT 5B-1,1963-09-28,None,69
671,RADIATION SAT (5E 1),1963-09-28,None,59
673,COSMOS 20,1963-10-18,1963-10-26,2100
674,VELA 2,1963-10-17,1980-01-01,115
675,ERS 12,1963-10-17,1966-02-05,2
677,ATLAS AGENA D,1963-10-25,1963-10-29,2000
681,THOR AGENA D,1963-10-29,1964-01-21,480
682,HITCH HIKER 2,1963-10-29,1965-05-23,95
683,POLYOT 1,1963-11-01,1982-10-16,1950
687,COSMOS 21,1963-11-11,1963-11-14,490
689,COSMOS 22,1963-11-16,1963-11-22,2200
692,VELA 1,1963-10-17,1980-01-01,115
693,EXPLORER 18 (IMP-1),1963-11-27,1963-11-27,63
695,THOR AGENA D,1963-11-27,1963-12-15,285
704,TRANSIT 5B-2,1963-12-05,None,75
705,TRANSIT 5E 3,1963-12-05,None,52
707,COSMOS 23,1963-12-13,1964-03-27,200
711,ATLAS AGENA D,1963-12-18,1963-12-20,2000
712,COSMOS 24,1963-12-19,1963-12-28,2100
714,EXPLORER 19 (ADI-1),1963-12-19,1981-05-10,8
716,TIROS 8,1963-12-21,None,120
718,THOR AGENA D,1963-12-21,1964-01-08,210
719,HITCH HIKER 3,1963-12-21,1964-11-07,95
728,GGSE 1 (GGRS),1964-01-11,None,38
