NORAD CAT ID,NAME,PAYLOAD NAME,LAUNCH DATE,REENTRY DATE,MASS (kg),DRY MASS (kg)
44235,Starlink 31,Starlink V0.9-01,2019 May 24,2020 Oct  1 1300?,227,219
44236,Starlink 22,Starlink V0.9-02,2019 May 24,2020 Aug  9 1453,227,219
44237,Starlink 23,Starlink V0.9-03,2019 May 24,2020 Sep  2 0715?,227,219
44238,Starlink 24,Starlink V0.9-04,2019 May 24,2022 Oct 24 0500?,227,219
44239,Starlink 25,Starlink V0.9-05,2019 May 24,2020 Sep  1 0900?,227,219
44240,Starlink 26,Starlink V0.9-06,2019 May 24,2021 Apr 10 1227,227,219
44241,Starlink 27,Starlink V0.9-07,2019 May 24,2020 Sep 26 0117,227,219
44242,Starlink 28,Starlink V0.9-08,2019 May 24,2020 Aug 21 0930?,227,219
44243,Starlink 29,Starlink V0.9-09,2019 May 24,2020 Oct 13?,227,219
44244,Starlink 30,Starlink V0.9-10,2019 May 24,2020 Oct 13 0421?,227,219
44245,Starlink 21,Starlink V0.9-11,2019 May 24,2020 Sep 22 0100?,227,219
44246,Starlink 46,Starlink V0.9-12,2019 May 24,2020 Feb 20,227,219
44247,Starlink 33,Starlink V0.9-13,2019 May 24,2020 Aug 29 0445,227,219
44248,Starlink 34,Starlink V0.9-14,2019 May 24,2020 Sep  2,227,219
44249,Starlink 61,Starlink V0.9-15,2019 May 24,2022 Jul 29 0352,227,219
44250,Starlink 36,Starlink V0.9-16,2019 May 24,2020 Sep 15,227,219
44251,Starlink 37,Starlink V0.9-17,2019 May 24,2020 Sep 16 1900?,227,219
44252,Starlink 71,Starlink V0.9-18,2019 May 24,2022 Oct 23 1200?,227,219
44253,Starlink 39,Starlink V0.9-19,2019 May 24,2020 Sep 18,227,219
44254,Starlink 32,Starlink V0.9-20,2019 May 24,2020 Sep 12 0206?,227,219
44255,Starlink 66,Starlink V0.9-21,2019 May 24,2020 Aug 21 0530?,227,219
44256,Starlink 42,Starlink V0.9-22,2019 May 24,2020 Sep 16 0836,227,219
44257,Starlink 43,Starlink V0.9-23,2019 May 24,2022 Jan 26 2345?,227,219
44258,Starlink 40,Starlink V0.9-24,2019 May 24,2020 Sep  5 1826?,227,219
44259,Starlink 52,Starlink V0.9-25,2019 May 24,2020 Oct 13 2330?,227,219
44260,Starlink 45,Starlink V0.9-26,2019 May 24,2020 Sep  4 1030?,227,219
44261,Starlink 44,Starlink V0.9-27,2019 May 24,2020 Sep  5,227,219
44262,Starlink 49,Starlink V0.9-28,2019 May 24,2020 Sep 29,227,219
44263,Starlink 72,Starlink V0.9-29,2019 May 24,2020 Oct 15 1520?,227,219
44264,Starlink 35,Starlink V0.9-30,2019 May 24,2020 Sep 16 1845?,227,219
44265,Starlink 63,Starlink V0.9-31,2019 May 24,2020 Oct 13 1830?,227,219
44266,Starlink 54,Starlink V0.9-32,2019 May 24,2020 Sep 14 2140?,227,219
44267,Starlink 69,Starlink V0.9-33,2019 May 24,2020 Sep 16 0700?,227,219
44268,Starlink 55,Starlink V0.9-34,2019 May 24,2021 Mar  9 0132?,227,219
44269,Starlink 57,Starlink V0.9-35,2019 May 24,2020 Sep 17 1930?,227,219
44270,Starlink 58,Starlink V0.9-36,2019 May 24,2020 Aug 23 0645?,227,219
44271,Starlink 59,Starlink V0.9-37,2019 May 24,2020 Oct 15,227,219
44272,Starlink 51,Starlink V0.9-38,2019 May 24,2020 Sep  2 0900?,227,219
44273,Starlink 60,Starlink V0.9-39,2019 May 24,2020 Dec 26 1145?,227,219
44274,Starlink 62,Starlink V0.9-40,2019 May 24,2020 Aug 29 0000?,227,219
44275,Starlink 64,Starlink V0.9-41,2019 May 24,2021 May 21,227,219
44276,Starlink 65,Starlink V0.9-42,2019 May 24,2020 Oct 21 0524?,227,219
44277,Starlink 41,Starlink V0.9-43,2019 May 24,2020 Aug  9 1030?,227,219
44278,Starlink 67,Starlink V0.9-44,2019 May 24,2020 May 27 1000?,227,219
44279,Starlink 68,Starlink V0.9-45,2019 May 24,2021 Jun 26 1110?,227,219
44280,Starlink 38,Starlink V0.9-46,2019 May 24,2020 Sep  6 0010?,227,219
44281,Starlink 70,Starlink V0.9-47,2019 May 24,2021 Oct  3 2115?,227,219
44282,Starlink 80,Starlink V0.9-48,2019 May 24,2022 May  4 0200?,227,219
44283,Starlink 56,Starlink V0.9-49,2019 May 24,2020 Sep 10,227,219
44284,Starlink 73,Starlink V0.9-50,2019 May 24,2020 Sep 27 2220?,227,219
44285,Starlink 50,Starlink V0.9-51,2019 May 24,2020 Sep 17 0400?,227,219
44286,Starlink 75,Starlink V0.9-52,2019 May 24,2021 Mar 28,227,219
44287,Starlink 76,Starlink V0.9-53,2019 May 24,2021 Sep 26 1500?,227,219
44288,Starlink 79,Starlink V0.9-54,2019 May 24,2020 Oct  3 0730?,227,219
44289,Starlink 48,Starlink V0.9-55,2019 May 24,2021 Apr 18 1600?,227,219
44290,Starlink 78,Starlink V0.9-56,2019 May 24,2020 Sep 16 0800?,227,219
44291,Starlink 77,Starlink V0.9-57,2019 May 24,2020 Oct  2 0455,227,219
44292,Starlink 81,Starlink V0.9-58,2019 May 24,2020 Oct  4 1400?,227,219
44293,Starlink 74,Starlink V0.9-59,2019 May 24,2020 Sep 29,227,219
44294,Starlink 53,Starlink V0.9-60,2019 May 24,2020 Sep 26 0130?,227,219
44295,Starlink deployment rail,-,2019 May 24,2023 Apr  4,100,100
44296,Starlink deployment rail,-,2019 May 24,2023 Apr  4,100,100
44297,Starlink deployment rail,-,2019 May 24,2023 Feb 24,100,100
44298,Starlink deployment rail,-,2019 May 24,2023 Feb 22,100,100
44713,Starlink 1007,Starlink V1.0-L1-01,2019 Nov 11,2024 Oct  2 1930?,260,248
44714,Starlink 1008,Starlink V1.0-L1-02,2019 Nov 11,-,260,248
44715,Starlink 1009,Starlink V1.0-L1-03,2019 Nov 11,2025 Feb 21 0114,260,248
44716,Starlink 1010,Starlink V1.0-L1-04,2019 Nov 11,-,260,248
44717,Starlink 1011,Starlink V1.0-L1-05,2019 Nov 11,-,260,248
44718,Starlink 1012,Starlink V1.0-L1-06,2019 Nov 11,-,260,248
44719,Starlink 1013,Starlink V1.0-L1-07,2019 Nov 11,-,260,248
44720,Starlink 1014,Starlink V1.0-L1-08,2019 Nov 11,2025 Jul 15 1858,260,248
44721,Starlink 1015,Starlink V1.0-L1-09,2019 Nov 11,-,260,248
